SIDO_NM,CCG_NM,LAWD_CD,N_TRADES,MEDIAN_PRICE_PER_M2_10K_KRW
강원특별자치도,강릉시,51150,1122,305.91834333451
강원특별자치도,고성군,51820,70,241.28686327077747
강원특별자치도,동해시,51170,512,189.20234208296026
강원특별자치도,삼척시,51230,382,316.44928789218073
강원특별자치도,속초시,51210,526,275.8400053465214
강원특별자치도,양구군,51800,23,233.402489626556
강원특별자치도,양양군,51830,112,279.7993032794104
강원특별자치도,영월군,51750,84,171.29612781133997
강원특별자치도,원주시,51130,2636,267.4038815229417
강원특별자치도,인제군,51810,33,201.43134745722546
강원특별자치도,정선군,51770,126,143.054125457093
강원특별자치도,철원군,51780,53,167.0843776106934
강원특별자치도,춘천시,51110,1631,317.5112465825763
강원특별자치도,태백시,51190,231,130.30087656953327
강원특별자치도,평창군,51760,181,174.90494296577947
강원특별자치도,홍천군,51720,152,274.732498368469
강원특별자치도,화천군,51790,13,319.3099826687775
강원특별자치도,횡성군,51730,126,199.19753201012702
경기도,가평군,41820,123,291.75525631939524
경기도,고양시 덕양구,41281,2843,715.4882154882155
경기도,고양시 일산동구,41285,1160,577.2101638652765
경기도,고양시 일산서구,41287,1600,503.3159639981052
경기도,과천시,41290,165,2901.3055875143814
경기도,광명시,41210,2048,1177.3745860742972
경기도,광주시,41610,1765,556.197321695974
경기도,구리시,41310,2457,974.6328437917222
경기도,군포시,41410,2415,690.1275438723939
경기도,김포시,41570,2589,549.0723355930115
경기도,남양주시,41360,5015,600.4888685847773
경기도,동두천시,41250,478,247.59769844469213
경기도,부천시 소사구,41194,1324,700.2405703811497
경기도,부천시 오정구,41196,334,505.4332898765985
경기도,부천시 원미구,41192,2405,741.7000235460325
경기도,성남시 분당구,41135,2352,2149.662206164962
경기도,성남시 수정구,41131,931,1467.599643532424
경기도,성남시 중원구,41133,1034,1110.1131042528655
경기도,수원시 권선구,41113,2791,655.6636416802984
경기도,수원시 영통구,41117,3450,833.8197281747686
경기도,수원시 장안구,41111,1666,721.061708818504
경기도,수원시 팔달구,41115,1522,980.3556455788203
경기도,시흥시,41390,3160,551.8867053542689
경기도,안산시 단원구,41273,1549,648.29263814944
경기도,안산시 상록구,41271,974,532.5443786982248
경기도,안성시,41550,1116,246.30107955968788
경기도,안양시 동안구,41173,3203,1171.3520749665329
경기도,안양시 만안구,41171,1734,880.6277869641387
경기도,양주시,41630,1559,423.83357468300784
경기도,양평군,41830,314,480.77262573645896
경기도,여주시,41670,408,250.46830477561085
경기도,연천군,41800,91,206.21715255355755
경기도,오산시,41370,1567,435.3822185195122
경기도,용인시 기흥구,41463,4986,686.656382996113
경기도,용인시 수지구,41465,3636,1004.9468278146121
경기도,용인시 처인구,41461,1344,505.56356162441824
경기도,의왕시,41430,1253,937.7930603313536
경기도,의정부시,41150,2890,470.81228656604435
경기도,이천시,41500,968,276.33562217384025
경기도,파주시,41480,2263,451.1804900057585
경기도,평택시,41220,4168,385.00800149028134
경기도,포천시,41650,407,268.6778222955456
경기도,하남시,41450,1762,1380.9060214070932
경기도,화성시 동탄구,41597,6826,909.3526033488622
경기도,화성시 만세구,41591,715,471.3296883837432
경기도,화성시 병점구,41595,1663,541.8202805686757
경기도,화성시 효행구,41593,921,452.0173037874106
경상남도,거제시,48310,1361,180.55369800722215
경상남도,거창군,48880,216,227.3980551092679
경상남도,고성군,48820,88,132.9410271853775
경상남도,김해시,48250,3457,262.3541389302216
경상남도,남해군,48840,38,167.55357438422504
경상남도,밀양시,48270,368,188.32027201612408
경상남도,사천시,48240,585,193.0423871517248
경상남도,산청군,48860,21,243.66717416657426
경상남도,양산시,48330,2529,334.4392123287671
경상남도,의령군,48720,24,332.6632814443816
경상남도,진주시,48170,2305,364.43394634722455
경상남도,창녕군,48740,131,163.15686427243617
경상남도,창원시 마산합포구,48125,1047,358.5125896281474
경상남도,창원시 마산회원구,48127,1007,300.2380711293426
경상남도,창원시 성산구,48123,2459,453.36787564766837
경상남도,창원시 의창구,48121,1022,382.9130453565411
경상남도,창원시 진해구,48129,811,268.26432978628276
경상남도,통영시,48220,449,235.36998985555343
경상남도,하동군,48850,36,106.63359349158941
경상남도,함안군,48730,188,170.38384969515988
경상남도,함양군,48870,40,252.6345851605858
경상남도,합천군,48890,28,163.50658687951642
경상북도,경산시,47290,1458,254.39506732488599
경상북도,경주시,47130,1088,237.30127924655946
경상북도,고령군,47830,33,137.51763046544428
경상북도,구미시,47190,2550,232.43372871663377
경상북도,김천시,47150,623,243.12220089571335
경상북도,문경시,47280,119,250.12506253126563
경상북도,봉화군,47920,25,164.07165578436297
경상북도,상주시,47250,203,226.96020186107364
경상북도,성주군,47840,26,277.2828428110398
경상북도,안동시,47170,645,222.2496909765142
경상북도,영덕군,47770,45,215.47156481808545
경상북도,영양군,47760,4,213.94002615018772
경상북도,영주시,47210,351,206.66022938696688
경상북도,영천시,47230,428,134.2691657207197
경상북도,예천군,47900,234,320.9698661527814
경상북도,울릉군,47940,1,477.7070063694267
경상북도,울진군,47930,64,277.03981330714095
경상북도,의성군,47730,18,194.24592266813266
경상북도,청도군,47820,46,198.34982583836046
경상북도,청송군,47750,31,106.6783574455648
경상북도,칠곡군,47850,513,129.5184269398328
경상북도,포항시 남구,47111,871,228.32205649911674
경상북도,포항시 북구,47113,1598,235.66289634356383
광주광역시,광산구,29200,2302,334.6880229500359
광주광역시,남구,29155,983,369.9252136752137
광주광역시,동구,29110,647,512.0617016693211
광주광역시,북구,29170,2701,297.6712227227857
광주광역시,서구,29140,1627,325.0812703175794
대구광역시,군위군,27720,6,312.4584070744854
대구광역시,남구,27200,496,418.4345754965363
대구광역시,달서구,27290,2880,379.70576655635466
대구광역시,달성군,27710,1438,321.1876691436657
대구광역시,동구,27140,1919,417.06983417303394
대구광역시,북구,27230,2312,337.14332607453
대구광역시,서구,27170,622,550.1715240633844
대구광역시,수성구,27260,2364,602.125147579693
대구광역시,중구,27110,1061,682.4332274385222
대전광역시,대덕구,30230,792,326.63448553111505
대전광역시,동구,30110,1056,386.00568974228736
대전광역시,서구,30170,3165,479.1335570074755
대전광역시,유성구,30200,2420,503.4224247725814
대전광역시,중구,30140,1109,373.50406907350964
부산광역시,강서구,26440,721,495.040593328653
부산광역시,금정구,26410,795,480.44786096256684
부산광역시,기장군,26710,849,355.6312454606927
부산광역시,남구,26290,1484,579.345088161209
부산광역시,동구,26170,335,592.1601334445371
부산광역시,동래구,26260,1701,603.116099849221
부산광역시,부산진구,26230,2285,444.45102890413193
부산광역시,북구,26320,1621,405.45965475712563
부산광역시,사상구,26530,788,277.0284475029869
부산광역시,사하구,26380,1442,283.2831436746569
부산광역시,서구,26140,500,602.4362778978586
부산광역시,수영구,26500,994,788.3287141054577
부산광역시,연제구,26470,1388,639.1127830410827
부산광역시,영도구,26200,397,272.3146747352496
부산광역시,중구,26110,66,314.41713899524217
부산광역시,해운대구,26350,2235,609.9598930481283
서울특별시,강남구,11680,1589,3498.4606773019873
서울특별시,강동구,11740,1976,1807.5005796745381
서울특별시,강북구,11305,925,920.8429254471401
서울특별시,강서구,11500,2660,1289.6825396825398
서울특별시,관악구,11620,1445,1133.9002834750709
서울특별시,광진구,11215,595,1903.0219989343077
서울특별시,구로구,11530,2504,1023.6819680070814
서울특별시,금천구,11545,752,848.0565371024734
서울특별시,노원구,11350,4639,1043.0839002267574
서울특별시,도봉구,11320,1617,825.6650493558641
서울특별시,동대문구,11230,1714,1284.574747676539
서울특별시,동작구,11590,1372,1794.8748068523525
서울특별시,마포구,11440,1098,1820.4834307481137
서울특별시,서대문구,11410,1549,1300.8672448298867
서울특별시,서초구,11650,1310,2654.9957614374393
서울특별시,성동구,11200,919,2284.6797137684284
서울특별시,성북구,11290,2395,1178.6337277827542
서울특별시,송파구,11710,2386,2413.79244466386
서울특별시,양천구,11470,1456,1347.653386991003
서울특별시,영등포구,11560,1799,1677.0186335403725
서울특별시,용산구,11170,615,2408.5330886569564
서울특별시,은평구,11380,1882,1127.5022785233054
서울특별시,종로구,11110,354,1274.0679969767637
서울특별시,중구,11140,533,1646.2917685411574
서울특별시,중랑구,11260,1522,938.5183967462448
세종특별자치시,세종특별자치시,36110,2571,693.5428104598494
울산광역시,남구,31140,2420,517.4601147226596
울산광역시,동구,31170,1005,261.437908496732
울산광역시,북구,31200,1565,370.9530785572634
울산광역시,울주군,31710,1301,312.70325711712616
울산광역시,중구,31110,1208,517.786857907152
인천광역시,강화군,28710,59,290.446348266471
인천광역시,계양구,28245,1492,406.22923858769127
인천광역시,남동구,28200,2141,480.9957593843254
인천광역시,동구,28140,288,376.25419112353865
인천광역시,미추홀구,28177,1611,418.1028499562664
인천광역시,부평구,28237,2817,516.3412763552697
인천광역시,서구,28260,3701,621.2250869326855
인천광역시,연수구,28185,2985,710.4408759262373
인천광역시,옹진군,28720,,
인천광역시,중구,28110,842,476.42586446343245
전라남도,강진군,46810,37,263.6849132176235
전라남도,고흥군,46770,67,204.28284488938147
전라남도,곡성군,46720,16,187.2919246528524
전라남도,광양시,46230,1017,131.82674199623352
전라남도,구례군,46730,39,208.96969581176964
전라남도,나주시,46170,681,270.64363763876366
전라남도,담양군,46710,43,323.63183172086224
전라남도,목포시,46110,1406,212.16038787039304
전라남도,무안군,46840,528,291.20199726574754
전라남도,보성군,46780,42,188.79432526889707
전라남도,순천시,46150,1976,264.0002129795985
전라남도,신안군,46910,4,239.4385254822598
전라남도,여수시,46130,950,240.19057362823344
전라남도,영광군,46870,135,167.1402306535183
전라남도,영암군,46830,200,107.9913606911447
전라남도,완도군,46890,42,294.9150309051272
전라남도,장성군,46880,62,128.84872824631861
전라남도,장흥군,46800,49,163.83962991518888
전라남도,진도군,46900,16,182.35049862939502
전라남도,함평군,46860,20,226.2002433116085
전라남도,해남군,46820,105,216.73529951151198
전라남도,화순군,46790,191,188.84292399662442
전북특별자치도,고창군,52790,40,248.9138702557674
전북특별자치도,군산시,52130,1914,188.3227893179997
전북특별자치도,김제시,52210,191,155.82414978077972
전북특별자치도,남원시,52190,215,184.0264998159735
전북특별자치도,무주군,52730,28,229.2983387349639
전북특별자치도,부안군,52800,102,201.42007287595084
전북특별자치도,순창군,52770,34,169.72100072578235
전북특별자치도,완주군,52710,637,269.66366229159945
전북특별자치도,익산시,52140,1585,168.63406408094437
전북특별자치도,임실군,52750,50,226.35949229545997
전북특별자치도,장수군,52740,8,312.8075721613329
전북특별자치도,전주시 덕진구,52113,2410,341.59366123918096
전북특별자치도,전주시 완산구,52111,2576,294.0467943927564
전북특별자치도,정읍시,52180,408,176.5848490199541
전북특별자치도,진안군,52720,14,122.33953356209958
제주특별자치도,서귀포시,50130,275,354.4224715861307
제주특별자치도,제주시,50110,816,446.40692882847605
충청남도,계룡시,44250,341,223.9745543701544
충청남도,공주시,44150,346,232.20242390528446
충청남도,금산군,44710,109,210.43771043771045
충청남도,논산시,44230,315,223.9536062424121
충청남도,당진시,44270,1059,238.99222980927715
충청남도,보령시,44180,377,222.24051362252038
충청남도,부여군,44760,91,181.2688821752266
충청남도,서산시,44210,1091,261.2480832981276
충청남도,서천군,44770,64,191.8190180522019
충청남도,아산시,44200,2638,268.98179771860964
충청남도,예산군,44810,344,190.6608067756963
충청남도,천안시 동남구,44131,1856,253.10048931776637
충청남도,천안시 서북구,44133,3012,312.7509498723141
충청남도,청양군,44790,23,233.26015367727774
충청남도,태안군,44825,154,186.39310434380678
충청남도,홍성군,44800,437,221.74109454709725
충청북도,괴산군,43760,21,259.01642046371
충청북도,단양군,43800,83,171.06057556852485
충청북도,보은군,43720,76,188.3181865830344
충청북도,영동군,43740,113,102.04081632653062
충청북도,옥천군,43730,146,217.12044319477945
충청북도,음성군,43770,602,200.26033843997197
충청북도,제천시,43150,631,200.05001250312577
충청북도,증평군,43745,217,225.3004005340454
충청북도,진천군,43750,446,214.05467310859126
충청북도,청주시 상당구,43111,1270,288.2890537621354
충청북도,청주시 서원구,43112,1368,283.86036741550146
충청북도,청주시 청원구,43114,1259,315.54212823094997
충청북도,청주시 흥덕구,43113,2514,410.5982973166569
충청북도,충주시,43130,1335,256.2588568729334
