SIDO_NM,CCG_NM,NTS_INDUSTRY,NTS_CURRENT_COUNT,NTS_PREVIOUS_COUNT,NTS_YEAR_AGO_COUNT
강원특별자치도,강릉시,LPG 충전소,15.0,15.0,15.0
강원특별자치도,강릉시,pc방,44.0,44.0,50.0
강원특별자치도,강릉시,가구점,49.0,50.0,52.0
강원특별자치도,강릉시,가전제품수리점,158.0,160.0,145.0
강원특별자치도,강릉시,가전제품판매점,66.0,67.0,68.0
강원특별자치도,강릉시,간이주점,89.0,90.0,95.0
강원특별자치도,강릉시,간판광고물업,68.0,69.0,70.0
강원특별자치도,강릉시,감정평가사,5.0,5.0,5.0
강원특별자치도,강릉시,건강보조식품가게,61.0,61.0,63.0
강원특별자치도,강릉시,건어물가게,167.0,165.0,171.0
강원특별자치도,강릉시,건축사,62.0,62.0,63.0
강원특별자치도,강릉시,결혼상담소,5.0,5.0,7.0
강원특별자치도,강릉시,곡물가게,20.0,20.0,20.0
강원특별자치도,강릉시,공인노무사,8.0,8.0,8.0
강원특별자치도,강릉시,공인회계사,4.0,4.0,4.0
강원특별자치도,강릉시,과일가게,42.0,44.0,42.0
강원특별자치도,강릉시,교습소ㆍ공부방,223.0,224.0,215.0
강원특별자치도,강릉시,교습학원,313.0,313.0,329.0
강원특별자치도,강릉시,구내식당,57.0,57.0,59.0
강원특별자치도,강릉시,기술ㆍ직업훈련학원,136.0,135.0,130.0
강원특별자치도,강릉시,기술사,7.0,7.0,7.0
강원특별자치도,강릉시,기타외국식음식점,176.0,177.0,185.0
강원특별자치도,강릉시,기타음식점,119.0,116.0,109.0
강원특별자치도,강릉시,기타일반의원,7.0,7.0,9.0
강원특별자치도,강릉시,꽃가게,112.0,113.0,122.0
강원특별자치도,강릉시,내과ㆍ소아과의원,40.0,40.0,40.0
강원특별자치도,강릉시,노래방,95.0,96.0,101.0
강원특별자치도,강릉시,담배ㆍ복권소매업,51.0,51.0,54.0
강원특별자치도,강릉시,당구장,80.0,81.0,89.0
강원특별자치도,강릉시,독서실,17.0,17.0,21.0
강원특별자치도,강릉시,동물병원,17.0,17.0,17.0
강원특별자치도,강릉시,목욕탕,23.0,23.0,23.0
강원특별자치도,강릉시,문구점,57.0,59.0,58.0
강원특별자치도,강릉시,미용실,639.0,639.0,628.0
강원특별자치도,강릉시,법무사,32.0,31.0,29.0
