SIDO_NM,CCG_NM,ADMIN_REGION_CODE,GENDER_CD,AGE_CD,POPULATION
강원특별자치도,강릉시,5115000000,1,1,13692
강원특별자치도,강릉시,5115000000,1,2,11004
강원특별자치도,강릉시,5115000000,1,3,11101
강원특별자치도,강릉시,5115000000,1,4,13475
강원특별자치도,강릉시,5115000000,1,5,18427
강원특별자치도,강릉시,5115000000,1,6,34264
강원특별자치도,강릉시,5115000000,2,1,12589
강원특별자치도,강릉시,5115000000,2,2,8805
강원특별자치도,강릉시,5115000000,2,3,9554
강원특별자치도,강릉시,5115000000,2,4,13089
강원특별자치도,강릉시,5115000000,2,5,17736
강원특별자치도,강릉시,5115000000,2,6,41930
강원특별자치도,고성군,5182000000,1,1,1469
강원특별자치도,고성군,5182000000,1,2,1301
강원특별자치도,고성군,5182000000,1,3,1422
강원특별자치도,고성군,5182000000,1,4,1503
강원특별자치도,고성군,5182000000,1,5,2450
강원특별자치도,고성군,5182000000,1,6,5791
강원특별자치도,고성군,5182000000,2,1,1329
강원특별자치도,고성군,5182000000,2,2,847
강원특별자치도,고성군,5182000000,2,3,1064
강원특별자치도,고성군,5182000000,2,4,1269
강원특별자치도,고성군,5182000000,2,5,2033
강원특별자치도,고성군,5182000000,2,6,6726
강원특별자치도,동해시,5117000000,1,1,6343
강원특별자치도,동해시,5117000000,1,2,4263
강원특별자치도,동해시,5117000000,1,3,4495
강원특별자치도,동해시,5117000000,1,4,5972
강원특별자치도,동해시,5117000000,1,5,8265
강원특별자치도,동해시,5117000000,1,6,14024
강원특별자치도,동해시,5117000000,2,1,5909
강원특별자치도,동해시,5117000000,2,2,2980
강원특별자치도,동해시,5117000000,2,3,3563
강원특별자치도,동해시,5117000000,2,4,5689
강원특별자치도,동해시,5117000000,2,5,7490
강원특별자치도,동해시,5117000000,2,6,16596
강원특별자치도,삼척시,5123000000,1,1,3737
강원특별자치도,삼척시,5123000000,1,2,3357
강원특별자치도,삼척시,5123000000,1,3,2523
강원특별자치도,삼척시,5123000000,1,4,3594
강원특별자치도,삼척시,5123000000,1,5,5840
강원특별자치도,삼척시,5123000000,1,6,11821
강원특별자치도,삼척시,5123000000,2,1,3483
강원특별자치도,삼척시,5123000000,2,2,2378
강원특별자치도,삼척시,5123000000,2,3,2085
강원특별자치도,삼척시,5123000000,2,4,3124
강원특별자치도,삼척시,5123000000,2,5,4568
강원특별자치도,삼척시,5123000000,2,6,13784
강원특별자치도,속초시,5121000000,1,1,5384
강원특별자치도,속초시,5121000000,1,2,3627
강원특별자치도,속초시,5121000000,1,3,4770
강원특별자치도,속초시,5121000000,1,4,5325
강원특별자치도,속초시,5121000000,1,5,6968
강원특별자치도,속초시,5121000000,1,6,12902
강원특별자치도,속초시,5121000000,2,1,5156
강원특별자치도,속초시,5121000000,2,2,2920
강원특별자치도,속초시,5121000000,2,3,3827
강원특별자치도,속초시,5121000000,2,4,5202
강원특별자치도,속초시,5121000000,2,5,7233
강원특별자치도,속초시,5121000000,2,6,15579
강원특별자치도,양구군,5180000000,1,1,1523
강원특별자치도,양구군,5180000000,1,2,1343
강원특별자치도,양구군,5180000000,1,3,1274
강원특별자치도,양구군,5180000000,1,4,1169
강원특별자치도,양구군,5180000000,1,5,1633
강원특별자치도,양구군,5180000000,1,6,3776
강원특별자치도,양구군,5180000000,2,1,1492
강원특별자치도,양구군,5180000000,2,2,744
강원특별자치도,양구군,5180000000,2,3,916
강원특별자치도,양구군,5180000000,2,4,1074
강원특별자치도,양구군,5180000000,2,5,1379
강원특별자치도,양구군,5180000000,2,6,4049
강원특별자치도,양양군,5183000000,1,1,1463
강원특별자치도,양양군,5183000000,1,2,1068
강원특별자치도,양양군,5183000000,1,3,1113
강원특별자치도,양양군,5183000000,1,4,1668
강원특별자치도,양양군,5183000000,1,5,2512
강원특별자치도,양양군,5183000000,1,6,6140
강원특별자치도,양양군,5183000000,2,1,1286
강원특별자치도,양양군,5183000000,2,2,721
강원특별자치도,양양군,5183000000,2,3,927
강원특별자치도,양양군,5183000000,2,4,1413
강원특별자치도,양양군,5183000000,2,5,2068
강원특별자치도,양양군,5183000000,2,6,6947
강원특별자치도,영월군,5175000000,1,1,1935
강원특별자치도,영월군,5175000000,1,2,1329
강원특별자치도,영월군,5175000000,1,3,1215
강원특별자치도,영월군,5175000000,1,4,1847
강원특별자치도,영월군,5175000000,1,5,3333
강원특별자치도,영월군,5175000000,1,6,8851
강원특별자치도,영월군,5175000000,2,1,1602
강원특별자치도,영월군,5175000000,2,2,938
강원특별자치도,영월군,5175000000,2,3,996
강원특별자치도,영월군,5175000000,2,4,1655
강원특별자치도,영월군,5175000000,2,5,2760
강원특별자치도,영월군,5175000000,2,6,9253
강원특별자치도,원주시,5113000000,1,1,29480
강원특별자치도,원주시,5113000000,1,2,20414
강원특별자치도,원주시,5113000000,1,3,24549
강원특별자치도,원주시,5113000000,1,4,26488
강원특별자치도,원주시,5113000000,1,5,30595
강원특별자치도,원주시,5113000000,1,6,49166
강원특별자치도,원주시,5113000000,2,1,28308
강원특별자치도,원주시,5113000000,2,2,17719
강원특별자치도,원주시,5113000000,2,3,22930
강원특별자치도,원주시,5113000000,2,4,26742
강원특별자치도,원주시,5113000000,2,5,31518
강원특별자치도,원주시,5113000000,2,6,56902
