SIDO_NM,CCG_NM,LAWD_CD,STRD_YYMM,LOCAL_VISITORS,OUTSIDE_VISITORS,FOREIGN_VISITORS
강원특별자치도,강릉시,51150,202601,5792822.0,2883552.0,19996.379999999997
강원특별자치도,강릉시,51150,202602,5254602.5,2865544.5,21124.45
강원특별자치도,강릉시,51150,202603,6003441.5,2566970.0,19286.36
강원특별자치도,강릉시,51150,202604,5824455.0,2480432.5,38165.64
강원특별자치도,강릉시,51150,202605,6205416.0,3191114.5,44112.05
강원특별자치도,강릉시,51150,202606,6104381.5,2810902.5,62778.63
강원특별자치도,고성군,51820,202601,711994.5,923419.0,5031.78
강원특별자치도,고성군,51820,202602,647034.5,909398.0,5921.17
강원특별자치도,고성군,51820,202603,752815.0,759874.5,10444.06
강원특별자치도,고성군,51820,202604,757431.5,853058.5,18282.22
강원특별자치도,고성군,51820,202605,803393.5,1237442.5,17683.520000000004
강원특별자치도,고성군,51820,202606,806421.0,1187203.5,14979.259999999998
강원특별자치도,동해시,51170,202601,2153543.0,969325.0,10012.91
강원특별자치도,동해시,51170,202602,1935465.0,1043406.0,10689.08
강원특별자치도,동해시,51170,202603,2238404.0,933432.5,11493.87
강원특별자치도,동해시,51170,202604,2211727.0,942508.0,13238.439999999999
강원특별자치도,동해시,51170,202605,2232296.5,1231842.5,14267.839999999998
강원특별자치도,동해시,51170,202606,2203792.5,1158181.5,14851.44
강원특별자치도,삼척시,51230,202601,1405355.0,762769.0,10924.759999999998
강원특별자치도,삼척시,51230,202602,1257256.0,842471.0,11155.189999999999
강원특별자치도,삼척시,51230,202603,1434499.5,918148.0,16214.849999999999
강원특별자치도,삼척시,51230,202604,1395352.0,949242.0,18348.77
강원특별자치도,삼척시,51230,202605,1553058.5,1149522.5,22124.23
강원특별자치도,삼척시,51230,202606,1518643.0,955097.5,20481.64
강원특별자치도,속초시,51210,202601,2288174.0,2061419.5,18608.230000000003
강원특별자치도,속초시,51210,202602,2091015.5,2037437.5,17504.56
강원특별자치도,속초시,51210,202603,2369692.5,1623601.0,23753.979999999996
강원특별자치도,속초시,51210,202604,2292685.5,1765358.0,39124.07
강원특별자치도,속초시,51210,202605,2399873.0,2384035.5,39663.0
강원특별자치도,속초시,51210,202606,2362899.0,2129970.5,33062.159999999996
강원특별자치도,양구군,51800,202601,514143.0,175353.5,629.8
강원특별자치도,양구군,51800,202602,465325.0,185853.5,853.5200000000001
강원특별자치도,양구군,51800,202603,558442.5,224941.5,1809.4700000000003
강원특별자치도,양구군,51800,202604,544411.0,230762.0,7538.36
강원특별자치도,양구군,51800,202605,576331.0,312907.0,11617.410000000002
강원특별자치도,양구군,51800,202606,559888.0,236582.5,11358.24
강원특별자치도,양양군,51830,202601,881454.0,1085868.0,10641.41
강원특별자치도,양양군,51830,202602,806204.0,1055852.0,8710.220000000001
강원특별자치도,양양군,51830,202603,919439.5,948220.0,10742.160000000002
강원특별자치도,양양군,51830,202604,914434.5,1106304.5,20765.73
강원특별자치도,양양군,51830,202605,956907.0,1513827.0,20009.260000000002
강원특별자치도,양양군,51830,202606,961135.0,1309301.0,18509.690000000002
강원특별자치도,영월군,51750,202601,591769.5,406644.0,2751.62
강원특별자치도,영월군,51750,202602,537561.5,528262.0,2942.5
강원특별자치도,영월군,51750,202603,640157.0,596669.5,2764.19
강원특별자치도,영월군,51750,202604,625943.5,668545.5,6228.2699999999995
강원특별자치도,영월군,51750,202605,669413.5,864811.5,8446.529999999999
강원특별자치도,영월군,51750,202606,671870.5,696370.5,7697.379999999999
강원특별자치도,원주시,51130,202601,8023340.5,2613740.5,21663.61
강원특별자치도,원주시,51130,202602,7217406.0,2771825.0,20298.18
강원특별자치도,원주시,51130,202603,8324330.0,3044338.5,27231.300000000003
