SIDO_NM,CCG_NM,LAWD_CD,NPS_WORKERS,NPS_WORKERS_EXCL_1000,N_WORKPLACES
강원특별자치도,강릉시,51150,27340,25590,1887
강원특별자치도,고성군,51820,4674,4674,377
강원특별자치도,동해시,51170,8936,8936,741
강원특별자치도,삼척시,51230,8534,8534,663
강원특별자치도,속초시,51210,7876,7876,578
강원특별자치도,양구군,51800,2245,2245,258
강원특별자치도,양양군,51830,4171,4171,352
강원특별자치도,영월군,51750,4600,4600,469
강원특별자치도,원주시,51130,75039,50301,3362
강원특별자치도,인제군,51810,3539,3539,400
강원특별자치도,정선군,51770,9927,5694,415
강원특별자치도,철원군,51780,4282,4282,444
강원특별자치도,춘천시,51110,42396,40634,2652
강원특별자치도,태백시,51190,4279,4279,374
강원특별자치도,평창군,51760,5983,5983,503
강원특별자치도,홍천군,51720,9797,8648,717
강원특별자치도,화천군,51790,2449,2449,286
강원특별자치도,횡성군,51730,8378,8378,543
경기도,가평군,41820,7110,7110,610
경기도,고양시 덕양구,41281,49558,45209,4199
경기도,고양시 일산동구,41285,50735,45071,4012
경기도,고양시 일산서구,41287,20481,20481,1585
경기도,과천시,41290,51028,38402,1241
경기도,광명시,41210,47229,33489,2825
경기도,광주시,41610,58862,55437,4801
경기도,구리시,41310,18295,18295,1738
경기도,군포시,41410,40173,38447,2432
경기도,김포시,41570,83883,82684,7372
경기도,남양주시,41360,76424,76424,6810
경기도,동두천시,41250,8662,8662,554
경기도,부천시 소사구,41194,12365,12365,971
경기도,부천시 오정구,41196,30133,25721,1872
경기도,부천시 원미구,41192,53996,49955,3889
경기도,성남시 분당구,41135,239220,145260,5738
경기도,성남시 수정구,41131,51827,41714,2395
경기도,성남시 중원구,41133,55310,45231,2660
경기도,수원시 권선구,41113,47305,43784,2694
경기도,수원시 영통구,41117,198761,50231,2949
경기도,수원시 장안구,41111,23373,19610,1182
경기도,수원시 팔달구,41115,26831,25710,1472
경기도,시흥시,41390,99531,96435,7248
경기도,안산시 단원구,41273,111680,105890,5774
경기도,안산시 상록구,41271,24304,24304,1880
경기도,안성시,41550,57871,54456,3012
경기도,안양시 동안구,41173,85881,74184,4660
경기도,안양시 만안구,41171,29876,27707,1594
경기도,양주시,41630,37619,37619,3168
경기도,양평군,41830,10738,10738,897
경기도,여주시,41670,18167,17154,1369
경기도,연천군,41800,4864,4864,471
경기도,오산시,41370,34646,34646,2026
경기도,용인시 기흥구,41463,113229,65819,4049
경기도,용인시 수지구,41465,37282,26484,1821
경기도,용인시 처인구,41461,94018,86115,4550
경기도,의왕시,41430,22840,22840,1600
경기도,의정부시,41150,33992,33992,2389
경기도,이천시,41500,84853,46595,2817
경기도,파주시,41480,83495,80191,6104
경기도,평택시,41220,180166,156174,7036
경기도,포천시,41650,37697,37697,3068
경기도,하남시,41450,48610,47043,4458
경기도,화성시 동탄구,41597,85478,73632,3953
경기도,화성시 만세구,41591,136814,118384,8081
경기도,화성시 병점구,41595,26272,23319,1455
경기도,화성시 효행구,41593,37067,37067,2984
경상남도,거제시,48310,58387,38663,1723
경상남도,거창군,48880,6616,6616,580
경상남도,고성군,48820,8538,8538,606
경상남도,김해시,48250,97466,97466,6378
경상남도,남해군,48840,3783,3783,343
경상남도,밀양시,48270,16451,16451,1054
경상남도,사천시,48240,24957,19008,1044
경상남도,산청군,48860,4665,4665,500
경상남도,양산시,48330,60507,55629,3186
경상남도,의령군,48720,3797,3797,349
경상남도,진주시,48170,60700,41872,2599
경상남도,창녕군,48740,9856,8615,657
경상남도,창원시 마산합포구,48125,16215,16215,1035
경상남도,창원시 마산회원구,48127,21812,19640,1199
경상남도,창원시 성산구,48123,92908,67011,2678
경상남도,창원시 의창구,48121,39756,36894,2476
경상남도,창원시 진해구,48129,18440,17405,1122
경상남도,통영시,48220,11289,11289,836
경상남도,하동군,48850,4702,4702,401
경상남도,함안군,48730,20128,20128,1345
경상남도,함양군,48870,3971,3971,415
경상남도,합천군,48890,4476,4476,487
경상북도,경산시,47290,50099,46025,2628
경상북도,경주시,47130,63955,48233,2986
경상북도,고령군,47830,7067,7067,636
경상북도,구미시,47190,82331,70642,3887
경상북도,김천시,47150,34021,20949,1300
경상북도,문경시,47280,7602,7602,593
경상북도,봉화군,47920,3086,3086,379
경상북도,상주시,47250,9963,9963,837
경상북도,성주군,47840,9591,9591,842
경상북도,안동시,47170,22924,21446,1603
경상북도,영덕군,47770,3485,3485,344
경상북도,영양군,47760,1759,1759,212
경상북도,영주시,47210,12100,12100,836
경상북도,영천시,47230,19937,19937,1309
경상북도,예천군,47900,4881,4881,470
경상북도,울릉군,47940,1053,1053,120
경상북도,울진군,47930,6907,6907,597
경상북도,의성군,47730,4806,4806,589
경상북도,청도군,47820,5238,5238,428
경상북도,청송군,47750,2422,2422,303
경상북도,칠곡군,47850,27758,24769,1885
경상북도,포항시 남구,47111,72550,47123,2331
경상북도,포항시 북구,47113,31737,26233,1734
광주광역시,광산구,29200,74834,69946,4262
광주광역시,남구,29155,18063,17025,1219
광주광역시,동구,29110,18000,16401,1101
광주광역시,북구,29170,63151,53728,3766
광주광역시,서구,29140,45323,39013,2954
대구광역시,군위군,27720,2752,2752,259
대구광역시,남구,27200,16562,15340,879
대구광역시,달서구,27290,77199,70897,3751
대구광역시,달성군,27710,50687,47895,2336
대구광역시,동구,27140,49749,39629,2303
대구광역시,북구,27230,44829,44829,3186
대구광역시,서구,27170,22380,22380,1451
대구광역시,수성구,27260,41615,38539,2603
대구광역시,중구,27110,24208,21112,1289
대전광역시,대덕구,30230,51978,34311,2288
대전광역시,동구,30110,48989,20558,1495
대전광역시,서구,30170,66222,53801,3407
대전광역시,유성구,30200,111279,90866,4759
대전광역시,중구,30140,26398,24832,1638
부산광역시,강서구,26440,75867,69027,4580
부산광역시,금정구,26410,27686,27686,1769
부산광역시,기장군,26710,33311,33311,1978
부산광역시,남구,26290,43731,30164,1740
부산광역시,동구,26170,26701,24558,1375
부산광역시,동래구,26260,25768,25768,1649
부산광역시,부산진구,26230,46555,40347,2543
부산광역시,북구,26320,18237,15186,923
부산광역시,사상구,26530,37439,36354,2640
부산광역시,사하구,26380,36835,35796,1939
부산광역시,서구,26140,13085,13085,786
부산광역시,수영구,26500,15615,14506,1101
부산광역시,연제구,26470,25921,23451,1549
부산광역시,영도구,26200,14877,13845,806
부산광역시,중구,26110,22070,22070,1320
부산광역시,해운대구,26350,50632,50632,3336
서울특별시,강남구,11680,701357,481457,22052
서울특별시,강동구,11740,79514,44378,2707
서울특별시,강북구,11305,14866,14866,1083
서울특별시,강서구,11500,207324,113059,6523
서울특별시,관악구,11620,34229,27498,1839
서울특별시,광진구,11215,53568,39098,2503
서울특별시,구로구,11530,98559,90875,5294
서울특별시,금천구,11545,143760,134568,8419
서울특별시,노원구,11350,32089,30596,1921
서울특별시,도봉구,11320,16597,16597,1167
서울특별시,동대문구,11230,44227,39342,2684
서울특별시,동작구,11590,39654,32153,1683
서울특별시,마포구,11440,161179,137092,7412
서울특별시,서대문구,11410,48685,38873,1772
서울특별시,서초구,11650,389920,235581,11835
서울특별시,성동구,11200,139210,104622,6352
서울특별시,성북구,11290,35512,31426,2015
서울특별시,송파구,11710,269571,152881,9375
서울특별시,양천구,11470,32265,30634,1994
서울특별시,영등포구,11560,426104,212555,8854
서울특별시,용산구,11170,125619,75044,3883
서울특별시,은평구,11380,24905,24905,1689
서울특별시,종로구,11110,219026,115687,5038
서울특별시,중구,11140,421938,188272,6914
서울특별시,중랑구,11260,25590,22158,1775
세종특별자치시,세종특별자치시,36110,65325,61941,3258
울산광역시,남구,31140,59932,59932,3086
